Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0012335165341695149    8535                     3.350601430502806        3.993384976040469        0.08790270512959923      1.2068115531745354       0                        0                        0.9999470625             0.05                     0.39267940512218047      0.0005                   0.2940376772894524       2e-06                    0.05810546875            0.9923298                0.8455027                
200                      0.14227889471583896      878326                   6.110678232968633        11.372020800828068       0.12258622438409832      0.8802714215617264       0                        0                        0.9890753250000001       0.05000000000000001      0.06738220227634883      0.0005                   0.30353248526807874      2e-06                    0.08349609375            0.1241827                0.32948306               
400                      0.2848244953817791       1748724                  7.301555677004062        13.192259417388845       0.12108503989964749      0.8690986703187601       0                        0                        0.97819535               0.05                     0.06731430642321357      0.0005                   0.29153697041328996      2e-06                    0.200927734375           -0.042411573             0.35228768               
600                      0.43296165115303464      2619124                  10.034840779848704       22.242876257389053       0.12108503989964749      0.8690986703187601       0                        0                        0.96731535               0.05                     0.13505868044740055      0.0005                   0.2995334470178932       2e-06                    0.2529296875             0.0901695                0.68226063               
800                      0.5839693595303429       3489524                  10.63336067185724        24.0504146416842         0.12108503989964749      0.8690986703187601       0                        0                        0.95643535               0.05                     0.06772850991910673      0.0005                   0.3083432244020514       2e-06                    0.28857421875            0.050055306              0.3294559                
1000                     0.7365476477808423       4359924                  12.038021348630043       27.236545582645885       0.12108503989964749      0.8690986703187601       0                        0                        0.94555535               0.05                     0.2072743811586406       0.0005                   0.30546060169581324      2e-06                    0.205810546875           0.17147762               0.44690344               
1200                     0.8904981543620427       5230324                  11.70718332842326        29.27709560540934        0.12108503989964749      0.8690986703187601       0                        0                        0.93467535               0.05                     0.3406975601683371       0.0005                   0.31575266062282026      2e-06                    0.20263671875            0.09522996               0.6460843                
1400                     1.0454949759112464       6100724                  11.759320887479955       31.0050542771895         0.12108503989964749      0.8690986703187601       0                        0                        0.92379535               0.05                     0.4016264401143417       0.0005                   0.29739646054804325      2e-06                    0.190673828125           0.24169838               0.7745479                
1600                     1.1994102580017514       6967732                  12.302478073998488       32.57246968859012        0.12108503989964749      0.8690986703187601       0                        0                        0.91295735               0.05                     0.27251047021127306      0.0005                   0.29428191512124613      2e-06                    0.22412109375            -0.028574182             0.7337823                
1800                     1.3537951361470753       7830388                  13.659688679550454       34.24329000378047        0.12108503989964749      0.8690986703187601       0                        0                        0.90217335               0.05                     0.2577136823965702       0.0005                   0.291615994006861        2e-06                    0.189208984375           0.012657162              0.5572295                
2000                     1.5068476992183262       8678996                  14.036393798720713       35.05413705045913        0.12108503989964749      0.8690986703187601       0                        0                        0.89156455               0.05                     0.2595483694312861       0.0005                   0.297190030280035        2e-06                    0.2060546875             0.33260462               0.7428701                
2200                     1.6618480403555764       9526388                  15.291036256527402       36.030411269371164       0.12108503989964749      0.8690986703187601       0                        0                        0.88097475               0.05                     0.22157471681780672      0.0005                   0.30419873298310185      2e-06                    0.20634191176470587      0.07064513               0.5665077                
2400                     1.8192814466026095       10386788                 16.91706816800829        35.03249983118026        0.12108503989964749      0.8690986703187601       0                        0                        0.87022035               0.05                     0.2259861487922642       0.0005                   0.3022570920122021       2e-06                    0.16636029411764708      -0.031618547             0.5495922                
2600                     1.9788240759240256       11252548                 19.723883180314267       31.097244628641146       0.12108503989964749      0.8690986703187601       0                        0                        0.85939815               0.05                     0.21982659899410517      0.0005                   0.3045825520530343       2e-06                    0.2113970588235294       0.028549504              0.604368                 
2800                     2.1384639359845057       12114628                 19.37855654653017        30.44967247552669        0.12108503989964749      0.8690986703187601       0                        0                        0.84862315               0.05                     0.27718438101275         0.0005                   0.297440131633159        2e-06                    0.19140625               -0.018488832             0.5384879                
3000                     2.298440663880772        12968596                 24.273239435263804       30.77637805039408        0.12108503989964749      0.8690986703187601       0                        0                        0.83794375               0.05                     0.21074417026829906      0.0005                   0.30600622593192384      2e-06                    0.169189453125           -0.04760856              0.6568856                
3200                     2.4626959596739875       13841196                 26.779085569743863       32.03136854798485        0.12108503989964749      0.8690986703187601       0                        0                        0.82703685               0.05                     0.19810165974195115      0.0005                   0.28915174322901294      2e-06                    0.192626953125           -0.20909776              0.72015333               
3400                     2.630941785507732        14725218                 31.568253949140175       39.07978894371047        0.12108503989964749      0.8690986703187601       0                        0                        0.8159867999999999       0.049999999999999996     0.15482998504739953      0.0005                   0.3049338704440743       2e-06                    0.17138671875            -0.011914566             0.43415722               
3600                     2.7991361988253063       15607426                 36.354847595976835       40.167024357162504       0.12108503989964749      0.8690986703187601       0                        0                        0.804967175              0.05                     0.13928095579735542      0.0005                   0.28708547672354856      2e-06                    0.17310855263157895      0.17922139               0.59066695               
3800                     2.970086016588741        16498967                 39.050542710377          37.21857189953462        0.12108503989964749      0.8690986703187601       0                        0                        0.7938197625             0.05                     0.11539774107384598      0.0005                   0.30916423314354485      2e-06                    0.2202690972222222       -0.16112562              0.47015956               
4000                     3.1529501181178623       17440005                 44.20786280973735        41.66461527686122        0.12108503989964749      0.8690986703187601       0                        0                        0.7820586125             0.05                     0.118417137213615        0.0005                   0.300641807041278        2e-06                    0.21751644736842107      -0.00680482              0.46896297               
