Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0012332396374808417    8422                     2.811892697768788        3.8327495002888767       -0.06872761845985725     1.4424202949576788       0                        0                        0.999947325              0.05                     0.15935470889962744      0.0005                   0.2927066928241402       2e-06                    0.073974609375           0.6517755                0.5554768                
200                      0.1559647200504939       876617                   7.899777769183858        16.72202733120747        0.09927472712072236      0.712169550511923        0                        0                        0.9890966875             0.05                     0.038319188401146675     0.0005                   0.2914867777726613       2e-06                    0.066162109375           0.023046056              0.35249147               
400                      0.312590452697542        1747017                  12.247473384201388       43.34103245290129        0.09866957900429794      0.6945459667928899       0                        0                        0.9782166875             0.05                     0.016971770928648766     0.0005                   0.31047530291834846      2e-06                    0.359130859375           0.032855365              0.18967032               
600                      0.4717291408114963       2617417                  14.028230585587915       58.70394222028756        0.09866957900429794      0.6945459667928899       0                        0                        0.9673366875             0.05                     0.007276131696016819     0.0005                   0.3019100815872662       2e-06                    0.30419921875            -0.007139763             0.1276572                
800                      0.6309382350577248       3487817                  14.770224293816684       56.13121455481348        0.09866957900429794      0.6945459667928899       0                        0                        0.9564566875             0.05                     0.006249914780255494     0.0005                   0.2966142367804423       2e-06                    0.20703125               -0.028169673             0.11280579               
1000                     0.7896712526347902       4358217                  15.088540146724133       55.54987866974142        0.09866957900429794      0.6945459667928899       0                        0                        0.9455766875             0.05                     0.007106033199306694     0.0005                   0.2991706097382121       2e-06                    0.177734375              0.01706776               0.10724319               
1200                     0.949123252497779        5228617                  15.202142318533143       56.5416348982682         0.09866957900429794      0.6945459667928899       0                        0                        0.9346966875             0.05                     0.005511685954843415     0.0005                   0.3009934956789948       2e-06                    0.167724609375           0.00067216234            0.12660632               
1400                     1.113968726793925        6099017                  15.2384580522381         54.07780817496379        0.09866957900429794      0.6945459667928899       0                        0                        0.9238166875             0.05                     0.00417041874629831      0.0005                   0.30138768011238426      2e-06                    0.1015625                0.0013023458             0.08445537               
1600                     1.2776102810435825       6966025                  16.17366502314891        55.54186986442769        0.09866957900429794      0.6945459667928899       0                        0                        0.9129786875             0.05                     0.0034417139486322412    0.0005                   0.30663188331527635      2e-06                    0.169921875              -0.0139506               0.09660936               
1800                     1.4422776395082473       7828681                  17.153207383018398       53.22622210501475        0.09866957900429794      0.6945459667928899       0                        0                        0.9021946875             0.05                     0.0034308824454001297    0.0005                   0.30372227635234594      2e-06                    0.158447265625           0.0010489061             0.08211112               
2000                     1.6054234580198923       8677289                  18.130944208596524       59.34352317498306        0.09866957900429794      0.6945459667928899       0                        0                        0.8915858875             0.05                     0.0030422555541917973    0.0005                   0.30275270191486925      2e-06                    0.128173828125           0.016034149              0.07321766               
2200                     1.7674072523911795       9524473                  19.12590885861514        60.4228528005614         0.09866957900429794      0.6945459667928899       0                        0                        0.8809986875             0.05                     0.0028801395122119338    0.0005                   0.2960961516946554       2e-06                    0.14085477941176472      -0.0007946177            0.06741861               
2400                     1.9329924315214158       10384825                 21.0399029945146         65.0348898966894         0.09866957900429794      0.6945459667928899       0                        0                        0.8702448875             0.05                     0.002892165820573128     0.0005                   0.30131579897202115      2e-06                    0.13511029411764705      -0.0071157096            0.07489891               
2600                     2.1002560128768284       11250601                 22.990986831045323       73.76407604075206        0.09866957900429794      0.6945459667928899       0                        0                        0.8594224875             0.05                     0.0036857301908158288    0.0005                   0.30734511327875014      2e-06                    0.11994485294117646      0.009371854              0.0615953                
2800                     2.268482771780756        12112761                 25.83926337204028        81.85472644708858        0.09866957900429794      0.6945459667928899       0                        0                        0.8486464875             0.05                     0.004423575898673495     0.0005                   0.30619225371629         2e-06                    0.14315257352941177      0.012059029              0.069272354              
3000                     2.436681665248341        12966585                 29.710208896113414       99.92211008834553        0.09866957900429794      0.6945459667928899       0                        0                        0.8379688875             0.05                     0.004513353705533518     0.0005                   0.28954601066652685      2e-06                    0.127197265625           0.005102316              0.08489585               
3200                     2.6091291533576118       13838793                 34.44787549984193        127.13445767701816       0.09866957900429794      0.6945459667928899       0                        0                        0.8270668875             0.05                     0.005056265579241881     0.0005                   0.2938223638921045       2e-06                    0.106201171875           -0.028028179             0.1295363                
3400                     2.785833930704329        14722473                 40.23164726846576        163.7610110114702        0.09866957900429794      0.6945459667928899       0                        0                        0.8160206875             0.05                     0.008470385756481846     0.0005                   0.2899052734137513       2e-06                    0.142822265625           0.01873793               0.11042659               
3600                     2.9641494301292632       15604329                 46.93384757732306        591.7470497948843        0.09866957900429794      0.6945459667928899       0                        0                        0.8050058874999999       0.049999999999999996     0.0074816768534028116    0.0005                   0.31118202567296593      2e-06                    0.11122532894736843      -0.015642686             0.12444482               
3800                     3.1455318119128544       16499337                 54.63400620796281        593.6081043286691        0.09866957900429794      0.6945459667928899       0                        0                        0.7938162875             0.05                     0.004028014659221904     0.0005                   0.2846330415664448       2e-06                    0.1408420138888889       0.009071726              0.09683296               
4000                     3.3313419769207635       17410566                 64.0959706666725         593.5537086702403        0.09866957900429794      0.6945459667928899       0                        0                        0.782422325              0.05                     0.00754530327000847      0.0005                   0.31214591893641386      2e-06                    0.16475183823529413      -0.0006200781            0.123098835              
4200                     3.5228001153469086       18350150                 75.84225984662677        594.0171691772612        0.09866957900429794      0.6945459667928899       0                        0                        0.770687125              0.05                     0.0032876891094929307    0.0005                   0.29547836715355513      2e-06                    0.1349609375             -0.027501198             0.07131318               
4400                     3.714699175092909        19285113                 89.24261630400511        593.5611128076073        0.09866957900429794      0.6945459667928899       0                        0                        0.7589924874999999       0.05                     0.0033273647956472514    0.0005                   0.30690722829765743      2e-06                    0.09657118055555555      -0.00016113356           0.062315907              
4600                     3.915252065459887        20260563                 104.51066277354519       594.3392860379079        0.09866957900429794      0.6945459667928899       0                        0                        0.7468089625000001       0.05                     0.0037626100390861254    0.0005                   0.30052446063962723      2e-06                    0.12183779761904762      -0.020514986             0.06719863               
